"","race","age","yeardth","rate","count","pop","yearbth","mod","modnotreat","modcrazytreat"
"867","Black",47.5,1996,1,20,2025212,1948.5,7.04773363812003e-06,7.74893481595104e-06,4.52162919263033e-06
"868","White",47.5,1996,0.4,68,15749148,1948.5,2.6038985475475e-06,3.44445734809016e-06,1.93833609854268e-06
"869","Black",52.5,2001,4.7,96,2039927,1948.5,2.89177616678552e-05,3.20471448782991e-05,1.75231588309545e-05
"870","White",52.5,2001,1.4,215,15726991,1948.5,1.14474331145809e-05,1.53810343129992e-05,8.30606882221102e-06
"871","Black",57.5,2006,11,219,1990934,1948.5,0.000106202999724644,0.000117739008481933,6.37576302175373e-05
"872","White",57.5,2006,3.9,599,15443132,1948.5,3.99020335856976e-05,5.35625655068353e-05,2.88450693122546e-05
"873","Black",62.5,2011,23,435,1893718,1948.5,0.000304804320132924,0.000337244411708703,0.000183328855435049
"874","White",62.5,2011,8.2,1233,14947029,1948.5,0.000111167754184288,0.000148651499634453,8.03770609558573e-05
"875","Black",22.5,1972,0,0,2080130,1949.5,0,0,0
"876","White",22.5,1972,0,0,15464181,1949.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"877","Black",27.5,1977,0,0,2062437,1949.5,0,0,0
"878","White",27.5,1977,0,0,15701272,1949.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"879","Black",32.5,1982,0,0,2142933,1949.5,0,0,0
"880","White",32.5,1982,0,0,15949187,1949.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"881","Black",37.5,1987,0,0,2129107,1949.5,4.76970302276407e-07,4.90452891900445e-07,4.30009882368386e-07
"882","White",37.5,1987,0,0,15769395,1949.5,1.38328912910322e-07,1.42067697674902e-07,1.35447278142203e-07
"883","Black",42.5,1992,0,0,2143247,1949.5,1.90210299794197e-06,2.03934972929586e-06,1.41353972889732e-06
"884","White",42.5,1992,0.1,15,15834690,1949.5,5.99201475076597e-07,7.509703064164e-07,4.81609927074552e-07
"885","Black",47.5,1997,1.1,24,2111316,1949.5,7.02820479916026e-06,7.74893481595104e-06,4.42042715278444e-06
"886","White",47.5,1997,0.4,66,15695403,1949.5,2.58735169460227e-06,3.44445734809016e-06,1.90721069898779e-06
"887","Black",52.5,2002,4.2,88,2117219,1949.5,2.89051328479901e-05,3.20471448782991e-05,1.74461347132317e-05
"888","White",52.5,2002,1.3,207,15657462,1949.5,1.14350629276093e-05,1.53810343129992e-05,8.28118518064156e-06
"889","Black",57.5,2007,10.7,220,2065371,1949.5,0.00010619553865564,0.000117739008481933,6.37001679896478e-05
"890","White",57.5,2007,3.6,551,15382603,1949.5,3.9893060311678e-05,5.35625655068353e-05,2.88254224413541e-05
"891","Black",62.5,2012,20,391,1955251,1949.5,0.000304800641615281,0.000337244411708703,0.000183287041928987
"892","White",62.5,2012,8,1185,14850458,1949.5,0.000111161517217602,0.000148651499634453,8.03617819665377e-05
"893","Black",22.5,1973,0,0,2159344,1950.5,0,0,0
"894","White",22.5,1973,0,0,15767301,1950.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"895","Black",27.5,1978,0,0,2147097,1950.5,0,0,0
"896","White",27.5,1978,0,0,15990826,1950.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"897","Black",32.5,1983,0,0,2216060,1950.5,0,0,0
"898","White",32.5,1983,0,0,16186206,1950.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"899","Black",37.5,1988,0,0,2210477,1950.5,4.74056763886287e-07,4.90452891900445e-07,4.16904970394744e-07
"900","White",37.5,1988,0,0,16017992,1950.5,1.3665318344903e-07,1.42067697674902e-07,1.32468897675655e-07
"901","Black",42.5,1993,0,0,2224422,1950.5,1.88089177124943e-06,2.03934972929586e-06,1.31481089143264e-06
"902","White",42.5,1993,0.1,16,16099290,1950.5,5.85621214805026e-07,7.509703064164e-07,4.57253831312963e-07
"903","Black",47.5,1998,1.1,24,2196205,1950.5,7.01382409111343e-06,7.74893481595104e-06,4.34426803368101e-06
"904","White",47.5,1998,0.4,57,15987917,1950.5,2.57700231155939e-06,3.44445734809016e-06,1.88756784540537e-06
"905","Black",52.5,2003,4.4,97,2194729,1950.5,2.88959329141526e-05,3.20471448782991e-05,1.73883306824624e-05
"906","White",52.5,2003,1.4,218,15891330,1950.5,1.1427355821082e-05,1.53810343129992e-05,8.26550820348456e-06
"907","Black",57.5,2008,10,214,2141369,1950.5,0.00010619021090601,0.000117739008481933,6.36572058517543e-05
"908","White",57.5,2008,3.8,588,15620982,1950.5,3.98875004224462e-05,5.35625655068353e-05,2.88130716277114e-05
"909","Black",62.5,2013,21.5,435,2020282,1950.5,0.000304798139833402,0.000337244411708703,0.000183255941308709
"910","White",62.5,2013,8.1,1222,15047687,1950.5,0.000111157685095801,0.000148651499634453,8.03522040199457e-05
"911","Black",17.5,1969,0,0,2367073,1951.5,0,0,0
"912","White",17.5,1969,0,0,16167260,1951.5,6.76944351025831e-08,6.76944351025831e-08,6.76944351025831e-08
"913","Black",22.5,1974,0,0,2240244,1951.5,0,0,0
"914","White",22.5,1974,0,0,16150285,1951.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"915","Black",27.5,1979,0,0,2229953,1951.5,0,0,0
"916","White",27.5,1979,0,0,16364475,1951.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"917","Black",32.5,1984,0,0,2290198,1951.5,0,0,0
"918","White",32.5,1984,0,0,16507125,1951.5,1.03442904878922e-07,1.03540852421817e-07,1.03368519219456e-07
"919","Black",37.5,1989,0,0,2292061,1951.5,4.69960218158317e-07,4.90452891900445e-07,3.98581322332145e-07
"920","White",37.5,1989,0,0,16354562,1951.5,1.34968415473808e-07,1.42067697674902e-07,1.29463065478968e-07
"921","Black",42.5,1994,0,0,2311334,1951.5,1.86644519052317e-06,2.03934972929586e-06,1.2459766835137e-06
"922","White",42.5,1994,0.1,14,16469763,1951.5,5.79453798633014e-07,7.509703064164e-07,4.46051350141697e-07
"923","Black",47.5,1999,1.4,31,2289843,1951.5,7.00412281040564e-06,7.74893481595104e-06,4.29132344804976e-06
"924","White",47.5,1999,0.4,68,16387315,1951.5,2.57232556484472e-06,3.44445734809016e-06,1.87855439345985e-06
"925","Black",52.5,2004,4.6,105,2278659,1951.5,2.88898232394923e-05,3.20471448782991e-05,1.7348301354644e-05
"926","White",52.5,2004,1.4,223,16229575,1951.5,1.14238968077776e-05,1.53810343129992e-05,8.25833585153436e-06
"927","Black",57.5,2009,10.7,237,2223590,1951.5,0.000106186778099877,0.000117739008481933,6.36276112855494e-05
"928","White",57.5,2009,3.6,567,15960405,1951.5,3.98850296041753e-05,5.35625655068353e-05,2.88074424784164e-05
"929","Black",62.5,2014,21.2,445,2096153,1951.5,0.000304796652744067,0.000337244411708703,0.000183234675171206
"930","White",62.5,2014,8.3,1278,15356911,1951.5,0.000111156007962556,0.000148651499634453,8.03478602478113e-05
"931","Black",17.5,1970,0,0,2451310,1952.5,0,0,0
"932","White",17.5,1970,0,0,16533305,1952.5,6.76944351025831e-08,6.76944351025831e-08,6.76944351025831e-08
"933","Black",22.5,1975,0,0,2335202,1952.5,0,0,0
"934","White",22.5,1975,0,0,16599371,1952.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"935","Black",27.5,1980,0,0,2363697,1952.5,0,0,0
"936","White",27.5,1980,0,0,16782084,1952.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"937","Black",32.5,1985,0,0,2372414,1952.5,0,0,0
"938","White",32.5,1985,0,0,16907182,1952.5,1.03239324102617e-07,1.03540852421817e-07,1.03008708502668e-07
"939","Black",37.5,1990,0,0,2380476,1952.5,4.63328364397948e-07,4.90452891900445e-07,3.6893097434715e-07
"940","White",37.5,1990,0,0,16762432,1952.5,1.33143788080786e-07,1.42067697674902e-07,1.26202031412009e-07
"941","Black",42.5,1995,0.4,10,2397251,1952.5,1.85597959831371e-06,2.03934972929586e-06,1.19476951920656e-06
"942","White",42.5,1995,0.1,17,16875234,1952.5,5.77083674890887e-07,7.509703064164e-07,4.41636445856891e-07
"943","Black",47.5,2000,1.5,35,2378277,1952.5,6.99717417755254e-06,7.74893481595104e-06,4.25206728290291e-06
"944","White",47.5,2000,0.4,70,16809775,1952.5,2.57054667915606e-06,3.44445734809016e-06,1.87501881605595e-06
"945","Black",52.5,2005,4.1,96,2359745,1952.5,2.88855301822845e-05,3.20471448782991e-05,1.73187530863758e-05
"946","White",52.5,2005,1.2,196,16618178,1952.5,1.14225998498317e-05,1.53810343129992e-05,8.25553920125185e-06
"947","Black",57.5,2010,10.6,244,2305512,1952.5,0.000106184457962961,0.000117739008481933,6.36058992947474e-05
"948","White",57.5,2010,4,647,16349175,1952.5,3.98841226613575e-05,5.35625655068353e-05,2.88052644789111e-05
"949","Black",17.5,1971,0,0,2534773,1953.5,0,0,0
"950","White",17.5,1971,0,0,16898457,1953.5,6.76944351025831e-08,6.76944351025831e-08,6.76944351025831e-08
"951","Black",22.5,1976,0,0,2422292,1953.5,0,0,0
"952","White",22.5,1976,0,0,16970961,1953.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"953","Black",27.5,1981,0,0,2441979,1953.5,0,0,0
"954","White",27.5,1981,0,0,17144135,1953.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"955","Black",32.5,1986,0,0,2448821,1953.5,0,0,0
"956","White",32.5,1986,0,0,17244770,1953.5,1.02920946154358e-07,1.03540852421817e-07,1.02443563204861e-07
"957","Black",37.5,1991,0,0,2472930,1953.5,4.54927892729552e-07,4.90452891900445e-07,3.31234744632007e-07
"958","White",37.5,1991,0,0,17212562,1953.5,1.31189274916559e-07,1.42067697674902e-07,1.22699609238042e-07
"959","Black",42.5,1996,0,0,2486142,1953.5,1.84732633321146e-06,2.03934972929586e-06,1.15162171326964e-06
"960","White",42.5,1996,0.1,21,17283235,1953.5,5.75120442994464e-07,7.509703064164e-07,4.37943414500569e-07
"961","Black",47.5,2001,1.1,28,2458076,1953.5,6.99147711897246e-06,7.74893481595104e-06,4.21906833441752e-06
"962","White",47.5,2001,0.4,70,17155996,1953.5,2.56907931843578e-06,3.44445734809016e-06,1.87206683826218e-06
"963","Black",52.5,2006,3.7,90,2445139,1953.5,2.88820615219793e-05,3.20471448782991e-05,1.72939945498832e-05
"964","White",52.5,2006,1.3,222,16969322,1953.5,1.142153633997e-05,1.53810343129992e-05,8.25320974795293e-06
"965","Black",57.5,2011,10.2,243,2388972,1953.5,0.000106182641092201,0.000117739008481933,6.35877882095298e-05
"966","White",57.5,2011,3.4,573,16682701,1953.5,3.98833856333319e-05,5.35625655068353e-05,2.88034559884326e-05
"967","Black",17.5,1972,0,0,2635150,1954.5,0,0,0
"968","White",17.5,1972,0,0,17271202,1954.5,6.76944351025831e-08,6.76944351025831e-08,6.76944351025831e-08
